graph_id,node_id,label,train_mask,val_mask,test_mask,feat_zoning_type_0,feat_zoning_type_1,feat_zoning_type_2,feat_zoning_type_3,feat_connectivity_0,feat_connectivity_1,feat_connectivity_2,X,Y,Z
0,102,5,True,False,False,0.0,0.0,1.0,0.0,1.0,0.0,0.0,26.799014,29.198776,8.6
0,103,5,True,False,False,0.0,0.0,1.0,0.0,1.0,0.0,0.0,33.599014,29.198775,8.6
0,104,2,True,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,48.837831,29.285309,8.479412
0,105,7,True,False,False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,24.686047,25.28806,10.5
0,106,2,True,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.534641,29.609449,13.1
0,107,4,True,False,False,0.0,1.0,0.0,0.0,0.333333,0.333333,0.333333,26.799014,25.83806,10.5
0,108,7,True,False,False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.625,30.240858,13.5
0,109,7,True,False,False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,68.886048,26.495977,10.5
0,110,0,True,False,False,1.0,0.0,0.0,0.0,0.5,0.5,0.0,36.01506,24.405991,7.5
0,111,7,True,False,False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,27.782442,25.83806,7.5
0,112,0,True,False,False,1.0,0.0,0.0,0.0,0.5,0.5,0.0,19.015614,24.405174,13.5
0,113,0,True,False,False,1.0,0.0,0.0,0.0,0.5,0.5,0.0,49.615613,24.405174,13.5
0,114,4,True,False,False,0.0,1.0,0.0,0.0,0.333333,0.333333,0.333333,19.999013,25.838059,10.5
0,115,5,True,False,False,0.0,0.0,1.0,0.0,1.0,0.0,0.0,32.660061,28.122376,12.0
0,116,2,True,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,21.637831,29.285309,8.479412
0,117,0,True,False,False,1.0,0.0,0.0,0.0,0.5,0.5,0.0,53.015615,24.405174,13.5
0,118,5,True,False,False,0.0,0.0,1.0,0.0,1.0,0.0,0.0,23.399012,29.198776,8.6
0,119,0,True,False,False,1.0,0.0,0.0,0.0,0.5,0.5,0.0,56.415614,24.405175,13.5
0,120,2,True,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,25.334641,29.60945,13.1
0,121,2,True,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,55.934642,29.609449,13.1
0,122,1,True,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,78.487499,28.851574,13.5
0,123,0,True,False,False,1.0,0.0,0.0,0.0,0.5,0.5,0.0,46.215058,24.405991,7.5
0,124,5,True,False,False,0.0,0.0,1.0,0.0,1.0,0.0,0.0,29.260061,28.122376,12.0
0,125,0,True,False,False,1.0,0.0,0.0,0.0,0.5,0.5,0.0,49.615058,24.40599,7.5
0,126,4,True,False,False,0.0,1.0,0.0,0.0,0.333333,0.333333,0.333333,63.260061,25.83806,10.5
0,127,7,True,False,False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,58.384145,25.838059,13.5
0,128,2,True,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,32.134641,29.60945,13.1
0,129,5,True,False,False,0.0,0.0,1.0,0.0,1.0,0.0,0.0,57.399013,28.122376,13.1
0,130,5,True,False,False,0.0,0.0,1.0,0.0,1.0,0.0,0.0,43.799014,28.122376,13.1
0,131,7,True,False,False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,45.086048,26.495977,10.5
0,132,4,True,False,False,0.0,1.0,0.0,0.0,0.333333,0.333333,0.333333,67.599014,25.838059,10.5
0,133,1,True,False,False,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.1375,28.448775,12.0
0,134,5,True,False,False,0.0,0.0,1.0,0.0,1.0,0.0,0.0,19.06006,28.122376,12.0
0,135,7,True,False,False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34.582442,25.838059,7.5
0,136,5,True,False,False,0.0,0.0,1.0,0.0,1.0,0.0,0.0,33.599015,28.122376,13.1
0,137,4,True,False,False,0.0,1.0,0.0,0.0,0.333333,0.333333,0.333333,53.999014,25.83806,10.5
0,138,2,True,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,28.437832,29.285309,8.479412
0,139,7,True,False,False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,48.182442,25.83806,7.5
0,140,4,True,False,False,0.0,1.0,0.0,0.0,0.333333,0.333333,0.333333,43.799014,25.838059,10.5
0,141,7,True,False,False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,54.982443,25.838059,7.5
0,142,0,True,False,False,1.0,0.0,0.0,0.0,0.5,0.5,0.0,22.415058,24.405991,7.5
0,143,7,True,False,False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,24.384146,25.838059,13.5
0,144,2,True,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,55.637833,29.285309,8.479412
0,145,8,True,False,False,0.0,0.0,0.0,1.0,0.0,1.0,0.0,82.699997,27.048777,10.5
0,146,7,True,False,False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,58.686047,25.28806,10.5
0,147,5,True,False,False,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.999016,28.122377,13.1
0,148,7,True,False,False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.851212,24.338059,10.5
0,149,1,True,False,False,0.0,1.0,0.0,0.0,0.0,1.0,0.0,80.21875,24.248775,13.5
0,150,0,True,False,False,1.0,0.0,0.0,0.0,0.5,0.5,0.0,63.215614,24.405174,13.5
0,151,7,True,False,False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,54.984147,25.838059,13.5
0,152,5,True,False,False,0.0,0.0,1.0,0.0,1.0,0.0,0.0,63.260061,28.122376,12.0
0,153,4,True,False,False,0.0,1.0,0.0,0.0,0.054054,0.027027,0.918919,44.325001,23.632582,10.5
0,154,2,True,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,62.437832,29.285309,8.479412
